year;country;word;frequency;count;%_headlines;word_len;freq_rank;hfreq_rank;theme
2013;India;cricketer;4;4910;0.0814664;9;20;20;empowerment
2014;India;cricketer;6;7502;0.07997869999999;9;20;20;empowerment
2015;India;cricketer;11;10532;0.1044436;9;20;20;empowerment
2016;India;cricketer;14;14012;0.0999144;9;20;20;empowerment
2017;India;cricketer;48;17097;0.280751;9;20;20;empowerment
2018;India;cricketer;40;19170;0.2086594;9;20;20;empowerment
2019;India;cricketer;66;20849;0.3165619;9;20;20;empowerment
2020;India;cricketer;42;21942;0.1914137;9;20;20;empowerment
2021;India;cricketer;56;12622;0.4436698;9;20;20;empowerment
2011;India;dream;12;2438;0.4922067;5;21;21;empowerment
2012;India;dream;17;3634;0.4678041;5;21;21;empowerment
2013;India;dream;12;4910;0.2443992;5;21;21;empowerment
2014;India;dream;19;7502;0.2532658;5;21;21;empowerment
2015;India;dream;52;10532;0.4937334;5;21;21;empowerment
2016;India;dream;53;14012;0.3782472;5;21;21;empowerment
2017;India;dream;76;17097;0.4445224;5;21;21;empowerment
2018;India;dream;65;19170;0.3390715;5;21;21;empowerment
2019;India;dream;130;20849;0.6235311;5;21;21;empowerment
2020;India;dream;79;21942;0.3600401;5;21;21;empowerment
2021;India;dream;55;12622;0.4357471;5;21;21;empowerment
2011;India;ceo;9;2438;0.369155;3;22;22;empowerment
2012;India;ceo;15;3634;0.4127683;3;22;22;empowerment
2013;India;ceo;17;4910;0.3462322;3;22;22;empowerment
2014;India;ceo;37;7502;0.4932018;3;22;22;empowerment
2015;India;ceo;45;10532;0.4272693;3;22;22;empowerment
2016;India;ceo;48;14012;0.3425635;3;22;22;empowerment
2017;India;ceo;54;17097;0.3158449;3;22;22;empowerment
2018;India;ceo;58;19170;0.3025561;3;22;22;empowerment
2019;India;ceo;68;20849;0.3261547;3;22;22;empowerment
2020;India;ceo;100;21942;0.455747;3;22;22;empowerment
2021;India;ceo;53;12622;0.4199018;3;22;22;empowerment
2011;India;girlfriend;6;2438;0.2461034;10;27;27;female stereotypes
2012;India;girlfriend;6;3634;0.1651073;10;27;27;female stereotypes
